name,value
Abruzzo,
Apulia,
Basilicata,
Calabria,
Campania,
Emilia-Romagna,
Friuli-Venezia Giulia,
Lazio,
Liguria,
Lombardia,
Marche,
Molise,
Piemonte,
Sardegna,
Sicily,
Toscana,
Trentino-Alto Adige,
Umbria,
Valle d'Aosta,
Veneto,
