name,value
Alsace-Champagne-Ardenne-Lorraine,
Aquitaine-Limousin-Poitou-Charentes,
Auvergne-Rhône-Alpes,
Bourgogne-Franche-Comté,
Brittany,
Centre-Val de Loire,
Corsica,
Languedoc-Roussillon-Midi-Pyrénées,
Nord-Pas-de-Calais-Picardy,
Normandy,
Pays de la Loire,
Provence-Alpes-Côte d'Azur,
Île-de-France,
