code,name,value
WP,Greater Poland,
KP,Kuyavian-Pomeranian,
MA,Lesser Poland,
DS,Lower Silesian,
LU,Lublin,
LB,Lubusz,
LD,Lódz,
MZ,Masovian,
OP,Opole,
PD,Podlaskie,
PM,Pomeranian,
SL,Silesian,
PK,Subcarpathian,
SK,Swietokrzyskie,
WM,Warmia-Masuria,
ZP,West Pomeranian,
