"code","name","value"
"NO.AK","Akershus",""
"NO.AA","Aust-Agder",""
"NO.BU","Buskerud",""
"NO.FI","Finnmark",""
"NO.HE","Hedmark",""
"NO.HO","Hordaland",""
"NO.MR","Møre og Romsdal",""
"NO.NT","Nord-Trøndelag",""
"NO.NO","Nordland",""
"NO.OP","Oppland",""
"NO.OS","Oslo",""
"NO.RO","Rogaland",""
"NO.SF","Sogn og Fjordane",""
"NO.ST","Sør-Trøndelag",""
"NO.TE","Telemark",""
"NO.TR","Troms",""
"NO.VA","Vest-Agder",""
"NO.VF","Vestfold",""
"NO.OF","Østfold",""
