code,name,value
CH,Changhua,
CY,Chiayi,
HC,Hsinchu,
HL,Hualien,
KM,Kinmen,
LC,Lienchiang,
ML,Miaoli,
NT,Nantou,
PH,Penghu,
PT,Pingtung,
TT,Taitung,
IL,Yilan,
YL,Yunlin,
XB,Xinbei,
KL,Keelung,
TP,Taipei,
KH,Kaohsiung,
TC,Taichung,
TN,Tainan,
