code,name,value
AB,Alberta,
BC,British Columbia,
MB,Manitoba,
NB,New Brunswick,
NF,Newfoundland and Labrador,
NS,Nova Scotia,
NT,Northwest Territories,
NU,Nunavut,
ON,Ontario,
PE,Prince Edward Island,
QC,Québec,
SK,Saskatchewan,
YT,Yukon,
